time,station,part_id,activity
2025-07-25T10:48:37.918683,S5,P6,LOAD
2025-07-25T10:48:41.204634,S5,P6,PROCESS
2025-07-25T10:48:41.571598,S1,P4,PROCESS
2025-07-25T10:48:41.832886,S2,P3,LOAD
2025-07-25T10:48:44.176017,S4,P1,UNLOAD
2025-07-25T10:48:45.271790,S2,P3,PROCESS
2025-07-25T10:48:46.030201,S4,P1,TRANSFER
2025-07-25T10:48:46.778173,S3,P2,LOAD
2025-07-25T10:48:49.794084,S2,P3,UNLOAD
2025-07-25T10:48:50.736989,S3,P2,PROCESS
2025-07-25T10:48:51.650068,S2,P3,TRANSFER
2025-07-25T10:48:53.431681,S5,P6,UNLOAD
2025-07-25T10:48:53.996157,S1,P4,UNLOAD
2025-07-25T10:48:55.132685,S5,P6,BLOCK
2025-07-25T10:48:56.676228,S1,P4,TRANSFER
2025-07-25T10:48:57.074614,S1,P5,LOAD
2025-07-25T10:48:57.403695,S5,P6,TRANSFER
2025-07-25T10:48:57.567757,S3,P2,UNLOAD
2025-07-25T10:48:57.570576,S5,P10,LOAD
2025-07-25T10:49:00.313389,S3,P2,TRANSFER
2025-07-25T10:49:00.857020,S5,P10,PROCESS
2025-07-25T10:49:01.217651,S1,P5,PROCESS
2025-07-25T10:49:01.393870,S2,P4,LOAD
2025-07-25T10:49:04.731499,S2,P4,PROCESS
2025-07-25T10:49:06.358115,S3,P3,LOAD
2025-07-25T10:49:10.334411,S3,P3,PROCESS
2025-07-25T10:49:11.117556,S2,P4,UNLOAD
2025-07-25T10:49:11.701561,S5,P10,UNLOAD
2025-07-25T10:49:12.969620,S2,P4,TRANSFER
2025-07-25T10:49:13.085439,S1,P5,UNLOAD
2025-07-25T10:49:13.375760,S5,P10,BLOCK
2025-07-25T10:49:15.714653,S1,P5,TRANSFER
2025-07-25T10:49:16.138705,S1,P9,LOAD
2025-07-25T10:49:16.419831,S5,P10,TRANSFER
2025-07-25T10:49:16.590986,S5,P11,LOAD
2025-07-25T10:49:18.550039,S3,P3,UNLOAD
2025-07-25T10:49:19.882588,S5,P11,PROCESS
2025-07-25T10:49:20.055447,S1,P9,PROCESS
2025-07-25T10:49:20.466942,S2,P5,LOAD
2025-07-25T10:49:21.261483,S3,P3,TRANSFER
2025-07-25T10:49:23.871436,S2,P5,PROCESS
2025-07-25T10:49:27.277367,S3,P4,LOAD
2025-07-25T10:49:28.790833,S2,P5,UNLOAD
2025-07-25T10:49:30.622291,S2,P5,TRANSFER
2025-07-25T10:49:31.255137,S3,P4,PROCESS
2025-07-25T10:49:31.501177,S5,P11,UNLOAD
2025-07-25T10:49:32.478901,S1,P9,UNLOAD
2025-07-25T10:49:33.220733,S5,P11,BLOCK
2025-07-25T10:49:35.126556,S1,P9,TRANSFER
2025-07-25T10:49:35.529438,S1,P7,LOAD
2025-07-25T10:49:35.877018,S5,P11,TRANSFER
2025-07-25T10:49:36.057720,S5,P12,LOAD
2025-07-25T10:49:39.064851,S3,P4,UNLOAD
2025-07-25T10:49:39.336397,S5,P12,PROCESS
2025-07-25T10:49:39.682724,S2,P9,LOAD
2025-07-25T10:49:39.718488,S1,P7,PROCESS
2025-07-25T10:49:41.752937,S3,P4,TRANSFER
2025-07-25T10:49:43.071512,S2,P9,PROCESS
2025-07-25T10:49:45.117420,S3,P5,LOAD
2025-07-25T10:49:47.981956,S2,P9,UNLOAD
2025-07-25T10:49:49.097404,S3,P5,PROCESS
2025-07-25T10:49:49.836921,S2,P9,TRANSFER
2025-07-25T10:49:52.507172,S1,P7,UNLOAD
2025-07-25T10:49:52.623042,S5,P12,UNLOAD
2025-07-25T10:49:54.326781,S5,P12,BLOCK
2025-07-25T10:49:55.147630,S1,P7,TRANSFER
2025-07-25T10:49:55.575366,S1,P8,LOAD
2025-07-25T10:49:55.936280,S5,P12,TRANSFER
2025-07-25T10:49:56.108809,S5,P1,LOAD
2025-07-25T10:49:56.413870,S3,P5,UNLOAD
2025-07-25T10:49:59.152202,S3,P5,TRANSFER
2025-07-25T10:49:59.398275,S5,P1,PROCESS
2025-07-25T10:49:59.804385,S1,P8,PROCESS
2025-07-25T10:49:59.896544,S2,P7,LOAD
2025-07-25T10:50:03.242531,S2,P7,PROCESS
2025-07-25T10:50:04.257435,S3,P9,LOAD
2025-07-25T10:50:07.656552,S2,P7,UNLOAD
2025-07-25T10:50:08.241833,S3,P9,PROCESS
2025-07-25T10:50:09.500276,S2,P7,TRANSFER
2025-07-25T10:50:12.124066,S5,P1,UNLOAD
2025-07-25T10:50:12.208080,S1,P8,UNLOAD
2025-07-25T10:50:13.846327,S5,P1,BLOCK
